dict_key   | dict_value                                                                       | chapter_id | chapter_name
---------- | -------------------------------------------------------------------------------- | ---------- | ----------------
1          | BlackBox                                                                         | 1          | ObjectType
2          | PDU                                                                              | 1          | ObjectType
3          | Shelf                                                                            | 1          | ObjectType
4          | Server                                                                           | 1          | ObjectType
5          | DiskArray                                                                        | 1          | ObjectType
6          | TapeLibrary                                                                      | 1          | ObjectType
7          | Router                                                                           | 1          | ObjectType
8          | Network switch                                                                   | 1          | ObjectType
9          | PatchPanel                                                                       | 1          | ObjectType
10         | CableOrganizer                                                                   | 1          | ObjectType
11         | spacer                                                                           | 1          | ObjectType
12         | UPS                                                                              | 1          | ObjectType
13         | Modem                                                                            | 1          | ObjectType
14         | MediaConverter                                                                   | 1          | ObjectType
15         | console                                                                          | 1          | ObjectType
445        | KVM switch                                                                       | 1          | ObjectType
447        | multiplexer                                                                      | 1          | ObjectType
798        | Network security                                                                 | 1          | ObjectType
965        | Wireless                                                                         | 1          | ObjectType
1055       | FC switch                                                                        | 1          | ObjectType
1323       | Voice/video                                                                      | 1          | ObjectType
1397       | Power supply chassis                                                             | 1          | ObjectType
1398       | Power supply                                                                     | 1          | ObjectType
1502       | Server chassis                                                                   | 1          | ObjectType
1503       | Network chassis                                                                  | 1          | ObjectType
1504       | VM                                                                               | 1          | ObjectType
1505       | VM Cluster                                                                       | 1          | ObjectType
1506       | VM Resource Pool                                                                 | 1          | ObjectType
1507       | VM Virtual Switch                                                                | 1          | ObjectType
1560       | Rack                                                                             | 1          | ObjectType
1561       | Row                                                                              | 1          | ObjectType
1562       | Location                                                                         | 1          | ObjectType
1644       | serial console server                                                            | 1          | ObjectType
1787       | Management interface                                                             | 1          | ObjectType
42         | noname/unknown                                                                   | 11         | server models
43         | IBM xSeries%GPASS%305                                                            | 11         | server models
44         | IBM xSeries%GPASS%306                                                            | 11         | server models
45         | IBM xSeries%GPASS%306m                                                           | 11         | server models
46         | IBM xSeries%GPASS%326m                                                           | 11         | server models
47         | IBM xSeries%GPASS%330                                                            | 11         | server models
48         | IBM xSeries%GPASS%335                                                            | 11         | server models
49         | Sun%GPASS%Ultra 10                                                               | 11         | server models
50         | Sun%GPASS%Enterprise 420R                                                        | 11         | server models
51         | Sun%GPASS%Fire X2100                                                             | 11         | server models
52         | Sun%GPASS%Fire E4900                                                             | 11         | server models
53         | Sun%GPASS%Netra X1                                                               | 11         | server models
54         | IBM xSeries%GPASS%346                                                            | 11         | server models
55         | Dell PowerEdge%GPASS%1650                                                        | 11         | server models
56         | Dell PowerEdge%GPASS%2850                                                        | 11         | server models
57         | Sun%GPASS%Fire V210                                                              | 11         | server models
58         | Sun%GPASS%Fire V240                                                              | 11         | server models
59         | IBM xSeries%GPASS%326                                                            | 11         | server models
60         | Sun%GPASS%Netra t1 105                                                           | 11         | server models
61         | Sun%GPASS%Enterprise 4500                                                        | 11         | server models
62         | Dell PowerEdge%GPASS%1950                                                        | 11         | server models
63         | Dell PowerEdge%GPASS%1550                                                        | 11         | server models
64         | Sun%GPASS%Ultra 5                                                                | 11         | server models
65         | Dell PowerEdge%GPASS%2950                                                        | 11         | server models
66         | Dell PowerEdge%GPASS%650                                                         | 11         | server models
67         | Dell PowerEdge%GPASS%4600                                                        | 11         | server models
68         | IBM xSeries%GPASS%3250                                                           | 11         | server models
69         | IBM xSeries%GPASS%3455                                                           | 11         | server models
70         | IBM xSeries%GPASS%3550                                                           | 11         | server models
71         | IBM xSeries%GPASS%3650                                                           | 11         | server models
72         | IBM xSeries%GPASS%3655                                                           | 11         | server models
73         | IBM xSeries%GPASS%3650 T                                                         | 11         | server models
74         | IBM xSeries%GPASS%3755                                                           | 11         | server models
75         | IBM xSeries%GPASS%3850                                                           | 11         | server models
76         | Sun%GPASS%Fire X4600                                                             | 11         | server models
